"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_390",0.244398432182779,0.0209892840243484,-0.236129595410781,0.00481884306353653,0.0343383973344177,0.102885826739831
"protein_882",0.0320670078969883,0.76545917670482,-0.38907583054179,1.85932147138239e-06,4.97199464370118e-05,0.887957102827676
"protein_1288",0.140467166012476,0.189199297104113,-0.27351020594602,0.00103201691953665,0.0102211372687443,0.421294271333648
"protein_1325",0.00761985908605973,0.94350089533928,-0.379938380274185,3.37085637915971e-06,8.51105067750925e-05,0.973744173540852
"protein_1465",0.0356140287254902,0.740389504873191,-0.246354052464329,0.00323187338370017,0.0253508148217441,0.874277122420762
"protein_1713",0.0186723233815586,0.862117544798457,-0.296084269212369,0.000364158542835027,0.00439906510779972,0.93825495316862
"protein_1870",0.145274203018834,0.174350134776286,-0.227376598500411,0.00669744883799473,0.0443705985517151,0.403501905149052
"protein_3634",0.0176379595378997,0.86968654825791,-0.280991191271147,0.000737754458848676,0.00777815319248523,0.941535779667745
"protein_5683",0.014273263263947,0.894385642062189,-0.33814031086661,4.11517358401169e-05,0.000714146495420082,0.954222986977207
"protein_6251",0.441844763531001,1.45958873820209e-05,-0.326661408949239,7.70568337367663e-05,0.00122190122068301,0.000357752875899685
"protein_6402",0.0712133183613383,0.507221345537568,-0.234807984551293,0.005068217001422,0.0357939023041604,0.718293296753158
"protein_6504",0.0393150798935825,0.714517316750372,-0.307340644577693,0.000209629975170138,0.00276514157830924,0.858749154243752
"protein_6600",0.0575409153888235,0.59222803316278,-0.25702759472197,0.00209287285200245,0.0178699143517132,0.777522320708911
"protein_7142",0.183645182919596,0.0849432325609387,-0.387024406929823,2.12834607395895e-06,5.61482509107647e-05,0.260542772239834
"protein_8130",0.0832551471118332,0.437942530406144,-0.277179907876016,0.000876366642031141,0.00895080721366181,0.665719703104538
