"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_113",-0.132904196509238,0.214381443948804,0.236963568980332,0.00466718913826749,0.0335759612248107,0.451559625761121
"protein_338",-0.00877794135095415,0.934931536882754,0.246049380780089,0.00327134449546621,0.0255921804080156,0.97056683103604
"protein_425",-0.225384374827828,0.0337019757338971,0.317326852384539,0.000126033372241858,0.00179964642936614,0.142844901471554
"protein_456",-0.0187304300385791,0.861692708965958,0.274120007816458,0.001004513482204,0.0100161912132307,0.938245087330507
"protein_482",-0.00998529759094457,0.926005465780749,0.232158822192904,0.0056030997117598,0.0384632854192333,0.966931159955298
"protein_829",-0.0951520614163077,0.375085543139528,0.242473297429624,0.00376820151740265,0.0283820002703052,0.612146614191057
"protein_1044",-0.0605995397585763,0.572664316557528,0.350116445966147,2.08213955167894e-05,0.000398997621580691,0.762516919456425
"protein_1641",-0.218748878763284,0.0394450604863613,0.236815524761208,0.00469379413850077,0.033716228225641,0.158361331124012
"protein_1736",-0.0175961828794554,0.869992502200318,0.30804974685331,0.000202310858866096,0.00268666993839559,0.941535779667745
"protein_1825",-0.0156649868839208,0.884155880988378,0.226222343506373,0.0069885152731727,0.0455298287398394,0.947447913999021
"protein_2047",-0.0271406747941865,0.800676622099178,0.225598209464428,0.00715053755974244,0.0463288683523841,0.906539755159635
"protein_2057",-0.0243612959882486,0.820728025128882,0.424410382822321,1.56425683822762e-07,5.28880630993857e-06,0.916740627703835
"protein_2146",-0.0366595331777449,0.733050159623458,0.229457690027706,0.00619979379438956,0.0417315639501073,0.87033987670329
"protein_2382",-0.0266240692055124,0.804394260033372,0.224258447459006,0.00750964318664095,0.0480209031163138,0.907778905002173
"protein_2440",-0.13958657065929,0.19201591313041,0.365646302393356,8.25181013603456e-06,0.000184583266274872,0.425329622396508
"protein_2535",-0.0822018845622851,0.443780072386309,0.234122176236355,0.00520211648477313,0.0364768191655785,0.670456642488098
"protein_3008",-0.0326164981233574,0.761558905307037,0.234025889927369,0.00522116668709643,0.0365021611941526,0.886827205051722
"protein_3433",-0.0616084724368595,0.566277726268558,0.242442986743722,0.00377268812024114,0.0283820002703052,0.760187777149439
"protein_3688",-0.0254595452793241,0.812790338785829,0.307188877870709,0.000211228082272148,0.00277998838480324,0.911759406730792
"protein_3791",-0.00271475253037421,0.979856420459254,0.226904456845734,0.0068151791980211,0.0447974292982772,0.99182644899549
"protein_3997",-0.00326231510231652,0.975794605024645,0.258595907719151,0.00196042610831934,0.0168122256490418,0.989587943692465
"protein_4033",-0.0378347238192127,0.724828993997057,0.277478492071248,0.000864701099696029,0.00884702012088998,0.865294028345106
"protein_4056",-0.0291122732428072,0.786529857480657,0.252154037915206,0.00255789334382381,0.021016880644854,0.898190997931038
"protein_4139",-0.0730688646739081,0.496190455279076,0.245138749933832,0.00339192217135875,0.0263513993250891,0.710257717212161
"protein_4468",-0.0122059804038122,0.909612472470456,0.252208036686034,0.00255226595870411,0.021016880644854,0.959522670571631
"protein_5428",-0.0970722571015774,0.365480454580068,0.236132190941032,0.00481836431681959,0.0343383973344177,0.603542065070382
"protein_5484",-0.0307770192181376,0.774638325069599,0.223755246039085,0.00764859724222834,0.0486420381443942,0.893042772170184
"protein_5871",-0.0514311547425671,0.632181617236629,0.323870394946931,8.9419037077721e-05,0.00139167247388421,0.801875946945744
"protein_6028",-0.0732501573786292,0.495119487765053,0.268342322726181,0.00129429392131501,0.0122416899342383,0.7097436516866
"protein_6507",-0.235832915463388,0.0260896920773228,0.261302733770505,0.00174961491392874,0.0154086594889862,0.119073435601932
"protein_6627",-0.178693225508511,0.0938417266765687,0.26084918437439,0.00178343364132541,0.0155898070013631,0.277562030185145
"protein_7249",-0.0451536801887222,0.674360165841456,0.293025636714078,0.000421500954135533,0.00492002006583202,0.832758366004468
"protein_7523",-0.0660544191807717,0.538542103380582,0.247695481685363,0.00306314376029095,0.0242210682013329,0.739897990235395
"protein_7745",-0.0719241774058523,0.50298051557519,0.277113904401326,0.000878964766299742,0.00896178461029703,0.71526090721026
"protein_8074",-0.0380416725344113,0.7233844550576,0.227563207556587,0.00665141804134886,0.0441153239427907,0.864384736343694
"protein_8153",-0.0430603926972729,0.688660038513315,0.224208941317705,0.00752321380036153,0.0480554471091497,0.844566813961608
"protein_8190",-0.0602862327035311,0.574654379028299,0.259987811779559,0.0018493025103031,0.0159522678418081,0.764170820936592
