"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_49",0.382221813462908,0.00021877735358829,-0.0382940228301044,0.652109163552002,0.801746752178982,0.00317011618512293
"protein_96",0.382261062408044,0.000218423442844702,-0.0538419075090902,0.526011459759351,0.708129386216078,0.00317011618512293
"protein_283",0.370304175389872,0.000354370705366049,-0.0555688792709167,0.512805074893931,0.699474207187803,0.00467435618759746
"protein_319",0.290590521684152,0.00573513032912219,-0.0106910213383785,0.899872521295887,0.95317789751237,0.039676290110998
"protein_672",0.31340293875629,0.00278457909436785,-0.0625953530384647,0.460887780478323,0.661391812910846,0.0228794396817961
"protein_713",0.285371306267942,0.00671326642807346,-0.0159587038195109,0.851014451046464,0.925976115271587,0.04442536152571
"protein_1038",0.310641135358062,0.00304831136381355,-0.181712235114876,0.0310452034138207,0.128982296386657,0.0244989286247475
"protein_1094",0.33368755707726,0.00139531351174042,-0.161252686863653,0.0561015838976562,0.185314777130775,0.0137728681033035
"protein_1211",0.313882670551398,0.00274091530681461,-0.0484398263191561,0.568402400467606,0.739639752698723,0.022615434431964
"protein_1843",0.391728658782607,0.000146924006558889,-0.083309128533543,0.326029007129076,0.544292831782619,0.00226270662457054
"protein_2038",0.281678631516789,0.00749159712872865,-0.00736500649846186,0.930928027681194,0.967872563703416,0.0481147007732649
"protein_2095",0.285104218982721,0.00676706509185159,-0.0894978687553863,0.291247969359097,0.506926569153719,0.0447310606015313
"protein_2389",0.31519456351636,0.00262463169775307,-0.115252024089368,0.173545536045171,0.36672715106097,0.0219608779829754
"protein_2879",0.321262158141271,0.00214240464108243,-0.0201320113699735,0.812695243720181,0.904682260666687,0.0189530323360721
"protein_3396",0.284613629141398,0.00686687588795512,-0.0862352846900633,0.309263981480686,0.526904142209926,0.0452890480368161
"protein_3862",0.299442504657222,0.00436200640229605,-0.141396255241055,0.0944345647191596,0.251987883254765,0.0322025787521895
"protein_4075",0.345072741038825,0.000927196073879477,-0.0385764851978719,0.649712280830993,0.799970144020246,0.0101388373654888
"protein_4112",0.289758765518263,0.00588200806255218,-0.0655216597186563,0.440155356055756,0.646227015184134,0.0404412694091407
"protein_4156",0.440899756966676,1.52983319413162e-05,-0.035737878793833,0.673959029653277,0.817336831880072,0.000370370727616309
"protein_4361",0.423385259152465,3.56613074690792e-05,-0.0704926127075372,0.406179150443508,0.618094139177226,0.000713590040274126
"protein_4391",0.312636525708433,0.00285563203864172,-0.0580017613838158,0.494494761643579,0.684497101823335,0.0232682593951929
"protein_4549",0.299840447688347,0.00430781956781278,-0.193170464415221,0.0217323173533756,0.103523257481707,0.0320390676579552
"protein_4594",0.304646967097752,0.00369912302534956,-0.0458793266073024,0.58904398829298,0.756406568397114,0.0285215475204868
"protein_4739",0.297580761890175,0.00462366294661517,-0.0139408223714709,0.869674065756698,0.936332610275669,0.0337063309974437
"protein_4874",0.808073815711145,1.06210310491525e-21,-0.0311059942731218,0.714242762984565,0.842737700489009,8.9262179517377e-19
"protein_4915",0.302236395919893,0.00399406117335542,-0.0152360354152775,0.857688140292878,0.929412291277031,0.0302407488839768
"protein_5374",0.325439616993016,0.00185844154345954,-0.101641493145187,0.230414841694518,0.437885145645915,0.0173234749122126
"protein_5749",0.335616543398144,0.00130336189997444,-0.0314437963064349,0.711276457299425,0.840586460082868,0.0131521064451967
"protein_5834",0.365897549534719,0.000421594428822773,-0.0220903493706768,0.794859819186443,0.894787660978539,0.00536848490208739
"protein_5867",0.382078564114624,0.000220073537131155,-0.131444717091585,0.120262002874605,0.293690893695019,0.00317326622289849
"protein_6011",0.303115923062026,0.00388410307283847,-0.0137111262683508,0.871802854377592,0.937624451731287,0.0295603859993645
"protein_6042",0.366596501372916,0.000410204998781359,-0.0157395517714104,0.853037181458848,0.927220180546851,0.00525759478830225
"protein_6251",0.441844763531001,1.45958873820209e-05,-0.326661408949239,7.70568337367663e-05,0.00122190122068301,0.000357752875899685
"protein_6271",0.444364055068664,1.28680436758359e-05,-0.156635499401809,0.0636171710524582,0.199392550506986,0.000323515816004028
"protein_6613",0.46561481959938,4.268591367855e-06,-0.120232197021438,0.15557080205785,0.343681197336213,0.000129443933077788
"protein_6783",0.316950097676718,0.00247596064586375,-0.0135170765550578,0.873601994310989,0.938534838692555,0.021140894745452
"protein_6825",0.315091686148851,0.00263358776580302,-0.0964901245119725,0.255030414580611,0.467398580831027,0.0219764493988925
"protein_7264",0.369982188025792,0.000358927126406342,-0.00361630294611198,0.966052992191788,0.982936750899021,0.00471332206394756
"protein_7397",0.329697166955266,0.00160442893412078,-0.0973110464288622,0.250991055395167,0.463023009999927,0.0153463532867411
"protein_7441",0.328569469074097,0.00166845651426891,-0.0192397887279059,0.8208536750548,0.907551620061528,0.0158314994732967
"protein_7657",0.347142839406661,0.000859365598391848,-0.0262788555924318,0.757078230345988,0.869560958439174,0.009556990199129
"protein_7687",0.283157887451797,0.00717073882401373,-0.003134132361945,0.970577044234163,0.985485804492506,0.0464597538564678
"protein_7858",0.314669723179245,0.00267060994548705,-0.025940147691889,0.760113549235728,0.870635824691472,0.0221909580639835
"protein_8212",0.286825967254344,0.00642683741411502,-0.100530230123712,0.235578210685429,0.444913840597875,0.0428674427519713
"protein_8340",0.293063087218392,0.00531751235770355,-0.0696299668689892,0.411961607119267,0.623025741563663,0.0377813106284661
"protein_8412",0.32119766318551,0.00214707955933293,-0.00331876285455089,0.968844596992974,0.984406349587161,0.0189658694407742
"protein_8450",0.349175414927359,0.000797194197819323,-0.0617309140385927,0.467113918581988,0.66539898825539,0.00900171490551071
