"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_12",-0.423668380182925,3.51897020496767e-05,-0.360884243581214,1.1016457507329e-05,0.000238271395278002,0.000711412430097073
"protein_39",-0.382258019637864,0.000218450860840886,-0.358661130867813,1.25876566590136e-05,0.000268308638133974,0.00317011618512293
"protein_41",-0.303284500510171,0.00386333885725989,-0.264389367675341,0.00153452509423656,0.0138886325067596,0.0294404436493004
"protein_102",-0.418850094013812,4.40667032972076e-05,-0.380054314569681,3.34588032616346e-06,8.48440256845673e-05,0.000858425216879048
"protein_118",-0.408350474787188,7.11083351975713e-05,-0.443625062573475,3.59734615433536e-08,1.41087916173033e-06,0.00125454604951046
"protein_122",-0.335095552187748,0.00132763903050289,-0.467879384843845,4.91837898315288e-09,2.28863299672019e-07,0.0133284990041783
"protein_243",-0.503425528747485,4.94329592400351e-07,-0.597419541334912,5.28285661022794e-15,7.06341941772068e-13,2.04798661414878e-05
"protein_307",-0.283373590817815,0.00712497875862037,-0.260431454474122,0.00181510615729199,0.0157729239635875,0.0463993708824936
"protein_324",-0.336944210462788,0.00124330460170248,-0.379069028219867,3.56385800734451e-06,8.8839731598338e-05,0.0126985433538466
"protein_333",-0.355849802318683,0.000620776163444414,-0.269299770964485,0.00124152808815552,0.0118569963354203,0.00736295598698284
"protein_395",-0.439132554982441,1.66976689388098e-05,-0.447009276954542,2.75048769693733e-08,1.11593924972981e-06,0.000394507575771158
"protein_449",-0.709471582972964,7.13679539757682e-15,-0.716406128151958,1.73837036044626e-23,8.52236069208777e-21,1.77356621195437e-12
"protein_451",-0.702314895981622,1.7305758852509e-14,-0.695472498367062,1.07619992350728e-21,3.95705259374583e-19,3.77073256775224e-12
"protein_506",-0.736437088730778,1.96519556963368e-16,-0.708561177742184,8.5140682559116e-23,3.85294334996369e-20,5.78062276807746e-14
"protein_528",-0.599909903562387,5.20683944804881e-10,-0.644851235015759,6.16997228950933e-18,1.20993156597278e-15,4.71259022659557e-08
"protein_571",-0.708904689745044,7.66295811950787e-15,-0.620866413266059,2.16454559731017e-16,3.85879446938659e-14,1.80324730468259e-12
"protein_572",-0.508191311344339,3.69693802427212e-07,-0.409675984053065,4.54628128255518e-07,1.40767225185643e-05,1.58752455451043e-05
"protein_630",-0.438123293627626,1.75497123034978e-05,-0.346278225771553,2.59807545811894e-05,0.000483686010130182,0.000408082835895169
"protein_691",-0.610073048367384,2.20406013104661e-10,-0.605967533102814,1.69912150993684e-15,2.37998377213296e-13,2.31544388409772e-08
"protein_820",-0.781697185328333,1.56745717426651e-19,-0.737612932444619,1.7886011963828e-25,1.052234083832e-22,7.09334658169989e-17
"protein_927",-0.836276662915848,2.00275354822386e-24,-0.782767601072266,2.00187265412481e-30,1.17770168242163e-26,2.94554978105024e-21
"protein_941",-0.351754930855235,0.000724204478641964,-0.523031071252609,2.86162978259589e-11,2.07839111247057e-09,0.00840334309240764
"protein_982",-0.535138455826329,6.56203576368646e-08,-0.468308551375655,4.74151292656899e-09,2.23154564376043e-07,3.64192984884599e-06
"protein_1084",-0.510713822394311,3.16430711596656e-07,-0.422617541307365,1.78597228778192e-07,6.0039285537263e-06,1.3996705837016e-05
"protein_1146",-0.291789079736231,0.00552919593894353,-0.274626981996392,0.000982160521581128,0.00986015417826242,0.0387040230442538
"protein_1195",-0.416914152689023,4.81889101962097e-05,-0.366953347292636,7.61648164033456e-06,0.000171677247088461,0.000917460707716186
"protein_1254",-0.533114609769038,7.51133169143246e-08,-0.480122619402537,1.69574858142491e-09,8.67485991697629e-08,4.06836402522113e-06
"protein_1265",-0.312792838418505,0.00284100988798959,-0.236955924423916,0.00466855962636328,0.0335759612248107,0.023213418293115
"protein_1277",-0.291288057335912,0.00561446949651381,-0.292933043283344,0.000423360340248095,0.00493193837956346,0.0391814045646391
"protein_1282",-0.863142766052092,1.50158335339648e-27,-0.76886834244513,8.8056832392125e-29,2.46672726619935e-25,8.8338148680315e-24
"protein_1343",-0.295442940763188,0.00494127085716841,-0.289616423080922,0.000495176163640519,0.00562378642991732,0.0355807790118993
"protein_1348",-0.570854562585211,5.18848013308812e-09,-0.401666115920542,7.95055964546592e-07,2.29280109775863e-05,3.76837390406882e-07
"protein_1356",-0.549270182905174,2.49104878072134e-08,-0.743187959140082,4.98635199186937e-26,4.19067268116679e-23,1.62831555299818e-06
"protein_1407",-0.301610185707274,0.00407403353129205,-0.230063249556731,0.00606130863466187,0.0410814270711011,0.0306098841182518
