"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_24",0.57545860578878,3.65832707873839e-09,0.529282811310582,1.50349706280213e-11,1.14871080785259e-09,2.69024227552725e-07
"protein_133",0.443811519342524,1.32297160895902e-05,0.444154191704352,3.45016141671071e-08,1.36584729525508e-06,0.000331193275553443
"protein_259",0.580957747929377,2.39289532870331e-09,0.345901446250397,2.65474134601302e-05,0.00049112714901241,1.87698709583487e-07
"protein_292",0.385487376555609,0.000191073026859201,0.225158227567558,0.00726675058278029,0.0469267768150345,0.00281724966669845
"protein_303",0.435693638654947,1.97707153332915e-05,0.469294153358671,4.35819963064712e-09,2.09412038578476e-07,0.000441078003086536
"protein_340",0.336872837940901,0.00124646816266902,0.430726174882532,9.74625861200953e-08,3.41293091752691e-06,0.0127087906429494
"protein_377",0.545100957932981,3.33047939028543e-08,0.338344975379146,4.0684844992076e-05,0.00070813296771711,2.12969676663578e-06
"protein_416",0.461578324698826,5.29412212521672e-06,0.26583625312425,0.00144224200503004,0.0133304078354174,0.000158098073414467
"protein_457",0.430782983880124,2.50853540016726e-05,0.334537025942174,5.02419117884394e-05,0.000849348181182152,0.0005366441366976
"protein_519",0.345550118606292,0.000911135338130172,0.222807560188356,0.00791649266197039,0.0499171772029709,0.0100190826060183
"protein_569",0.423408260268531,3.56227746878656e-05,0.388295687037682,1.95758077705548e-06,5.21106231285854e-05,0.000713590040274126
"protein_585",0.318406021968727,0.00235845374784001,0.251660518653933,0.00260984697381535,0.0212950481927264,0.0204040932331511
"protein_662",0.61811563232671,1.09205730016813e-10,0.356482987313738,1.43304148307413e-05,0.000295809931400881,1.21218360318663e-08
"protein_699",0.498333481966565,6.71013403240663e-07,0.456577094093782,1.26734567978993e-08,5.4822019369148e-07,2.66727827788163e-05
"protein_841",0.345618951735279,0.000908840551400276,0.318908534061178,0.000116082966252451,0.00169458086963565,0.0100125636027862
"protein_873",0.334696561092008,0.00134650759711761,0.369641504486508,6.45230067565377e-06,0.000150035118082495,0.0134317311527857
"protein_916",0.340376498674408,0.00109950063632181,0.224076174769172,0.00755971518204342,0.0481839701148011,0.0115713099167821
