"variable_id","membership","cluster","cluster_raw"
"protein_65",0.99840090065699,1,1
"protein_107",0.915655057938593,1,1
"protein_190",0.967392229801126,1,1
"protein_355",0.929383881016379,1,1
"protein_359",0.88858828381955,1,1
"protein_381",0.953079337199808,1,1
"protein_411",0.973319898122426,1,1
"protein_442",0.889136550281802,1,1
"protein_554",0.999988950876987,1,1
"protein_570",0.964923817297975,1,1
"protein_717",0.984754463680051,1,1
"protein_730",0.962405224711846,1,1
"protein_749",0.998979164783833,1,1
"protein_780",0.999909848907576,1,1
"protein_787",0.949113640282584,1,1
"protein_995",0.968705215110953,1,1
"protein_1101",0.999746642016079,1,1
"protein_1137",0.999936633156494,1,1
"protein_1153",0.940401379578481,1,1
"protein_1154",0.973176748907585,1,1
"protein_1158",0.990634496693008,1,1
"protein_1177",0.965125609243284,1,1
"protein_1213",0.865429721324296,1,1
"protein_1372",0.947782497585592,1,1
"protein_1373",0.999787563861878,1,1
"protein_1378",0.807223997638848,1,1
"protein_1395",0.833785071795327,1,1
"protein_1426",0.861301394488153,1,1
"protein_1431",0.840400677693386,1,1
"protein_1445",0.883568047054221,1,1
"protein_1457",0.928177338368093,1,1
"protein_1462",0.877078417294327,1,1
"protein_1471",0.915149389821008,1,1
"protein_1507",0.944573568555616,1,1
"protein_1518",0.858096699356183,1,1
"protein_1528",0.991259160420509,1,1
"protein_1644",0.844468073865951,1,1
"protein_1723",0.936258330263992,1,1
"protein_1956",0.996240431705516,1,1
"protein_1983",0.988902332661299,1,1
"protein_2075",0.936446141729586,1,1
"protein_2096",0.963331348495067,1,1
"protein_2105",0.858980299320992,1,1
"protein_2110",0.81305141116818,1,1
"protein_2196",0.982464145373456,1,1
"protein_2244",0.951432948827089,1,1
"protein_2248",0.999532221811348,1,1
"protein_2260",0.990126212077078,1,1
"protein_2289",0.999340294239764,1,1
"protein_2369",0.999894316630134,1,1
"protein_2434",0.963313830252932,1,1
"protein_2469",0.967260296391836,1,1
"protein_2486",0.957436602128347,1,1
"protein_2519",0.9604935537073,1,1
"protein_2610",0.947640710571548,1,1
"protein_2713",0.857500768616263,1,1
"protein_2737",0.909380927171164,1,1
"protein_2760",0.991611769888514,1,1
"protein_2763",0.972316835092482,1,1
"protein_2769",0.927888575321433,1,1
"protein_2770",0.997677962179917,1,1
"protein_2811",0.823379930888834,1,1
"protein_2895",0.979075405381382,1,1
"protein_2943",0.899719368856203,1,1
"protein_3046",0.999024187479604,1,1
"protein_3088",0.998007228719017,1,1
"protein_3098",0.997045010125622,1,1
"protein_3104",0.998346901935518,1,1
"protein_3115",0.985222767410697,1,1
"protein_3145",0.99936607422644,1,1
